Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
708082083,24,F,1,Uneducated,Single,FL,91750,No,yes,no,Unknown,Businessman,202326.0,3.0
708083283,62,F,0,Unknown,Single,NJ,91750,No,no,no,Cellular,Selfemployeed,5225.0,2.0
708084558,32,F,1,Unknown,Married,NJ,91750,Yes,no,no,Unknown,Selfemployeed,14235.0,2.0
708085458,38,M,2,Uneducated,Married,NY,91750,No,no,no,Unknown,Selfemployeed,45683.0,1.0
708086958,48,M,4,Graduate,Single,TX,91750,Yes,yes,no,Cellular,Selfemployeed,14254.0,1.0
708095133,33,F,1,High School,Single,NY,91750,No,yes,no,Cellular,Selfemployeed,14254.0,3.0
708098133,34,F,3,Graduate,Single,CA,91750,No,no,no,Cellular,Selfemployeed,14975.0,2.0
708099183,34,F,2,Uneducated,Single,CA,91750,No,no,no,Cellular,Retirees,86668.0,2.0
708100533,48,M,2,High School,Married,NJ,91750,No,no,no,Telephone,Businessman,86668.0,2.0
708103608,53,F,1,Graduate,Married,NJ,91750,Yes,yes,no,Cellular,Businessman,223196.0,1.0
708104658,31,F,0,Post-Graduate,Single,CA,91750,Yes,yes,no,Telephone,Businessman,33625.0,2.0
708108333,34,F,4,Post-Graduate,Single,NY,91750,Yes,no,no,Telephone,Selfemployeed,14975.0,3.0
708112008,51,F,2,Graduate,Single,NJ,91750,Yes,yes,no,Cellular,Selfemployeed,14975.0,2.0
708113208,36,M,1,High School,Single,NJ,91750,Yes,no,no,Cellular,Selfemployeed,59416.0,3.0
708117933,49,F,4,High School,Single,CA,91750,Yes,yes,no,Unknown,Retirees,29021.0,1.0
708119658,53,F,2,Graduate,Single,FL,91750,Yes,no,no,Cellular,Govt,29021.0,1.0
708121908,49,F,1,Graduate,Single,TX,91750,No,no,no,Cellular,Selfemployeed,20632.0,3.0
708123033,47,F,5,Graduate,Single,FL,91750,No,no,no,Cellular,Selfemployeed,57168.0,2.0
708125733,43,F,4,Graduate,Single,FL,91750,No,no,no,Cellular,Retirees,57168.0,2.0
708128733,47,M,3,Graduate,Married,NY,91750,No,no,no,Cellular,Govt,89954.0,2.0
708129933,34,F,3,Uneducated,Single,TX,91750,Yes,yes,yes,Telephone,Govt,53762.0,1.0
708132783,37,F,5,Unknown,Married,NJ,91750,Yes,yes,no,Cellular,Selfemployeed,14975.0,3.0
708134283,63,M,0,Graduate,Single,TX,91750,Yes,yes,yes,Cellular,Selfemployeed,14975.0,2.0
708136908,55,M,2,Graduate,Married,MO,91750,Yes,yes,no,Cellular,Retirees,72878.0,2.0
708139833,38,F,1,Unknown,Single,NY,91750,Yes,no,no,Cellular,Businessman,25667.0,3.0
708145908,40,M,3,Graduate,Single,MA,91750,No,yes,no,Cellular,Businessman,47224.0,3.0
708147108,55,F,0,Graduate,Single,NY,91750,No,no,no,Unknown,Businessman,25341.0,3.0
708148158,33,M,2,Doctorate,Single,NY,91750,No,yes,yes,Cellular,Businessman,53644.0,3.0
708151008,54,F,1,Uneducated,Single,CA,91750,No,yes,no,Cellular,Govt,27423.0,2.0
708152358,46,M,3,Uneducated,Single,NY,91750,Yes,yes,no,Cellular,Govt,110014.0,2.0
708153558,44,M,4,Graduate,Single,IA,91750,No,no,no,Telephone,Businessman,25835.0,3.0
708154833,40,F,3,Graduate,Single,NJ,91750,No,yes,no,Cellular,Govt,25835.0,2.0
708155733,44,F,3,Graduate,Single,CA,91750,No,yes,no,Cellular,Selfemployeed,23215.0,2.0
708158133,51,F,2,Uneducated,Single,NY,91750,No,no,no,Cellular,Selfemployeed,23215.0,3.0
708160008,60,M,0,Uneducated,Single,CA,91750,No,no,no,Cellular,Businessman,103581.0,3.0
708161133,49,F,2,Unknown,Single,TX,91750,Yes,yes,no,Cellular,Selfemployeed,44555.0,3.0
708162558,43,F,5,Graduate,Married,TX,91750,Yes,yes,no,Cellular,Selfemployeed,12381.0,2.0
708163758,54,M,1,Graduate,Single,NY,91750,No,yes,no,Unknown,Selfemployeed,123809.0,1.0
708170508,32,F,0,Graduate,Married,FL,91750,No,no,no,Unknown,Selfemployeed,14975.0,1.0
708171858,52,F,3,Graduate,Married,NY,91750,No,yes,no,Unknown,Businessman,30586.0,1.0
708173433,43,F,1,Graduate,Married,CA,91750,No,no,no,Unknown,Retirees,28367.0,3.0
708174708,49,F,0,Graduate,Married,NY,91750,Yes,no,no,Unknown,Retirees,15355.0,2.0
708176208,49,F,1,Uneducated,Married,CA,91750,Yes,no,no,Cellular,Govt,53428.0,2.0
708177333,42,F,3,Uneducated,Single,CA,91750,Yes,yes,no,Cellular,Selfemployeed,54304.0,2.0
708178608,48,F,3,Unknown,Single,FL,91750,No,no,no,Cellular,Selfemployeed,54304.0,1.0
708185208,47,F,2,Doctorate,Single,CA,91750,No,yes,no,Cellular,Selfemployeed,20100.0,2.0
708186933,47,F,4,Unknown,Single,CA,91750,No,yes,no,Cellular,Selfemployeed,24295.0,3.0
708190158,47,F,3,Unknown,Single,NY,91750,No,yes,no,Unknown,Govt,32103.0,3.0
708193008,53,F,2,Graduate,Married,CA,91750,No,no,yes,Unknown,Selfemployeed,14975.0,2.0
708195633,47,F,4,Graduate,Married,TX,91750,Yes,yes,no,Unknown,Selfemployeed,27517.0,3.0
708197358,42,M,1,Uneducated,Married,AK,99504,Yes,no,yes,Unknown,Govt,107887.0,1.0
708204033,53,M,2,Uneducated,Married,CA,91750,Yes,no,yes,Unknown,Selfemployeed,51233.0,1.0
708205083,54,M,2,Graduate,Married,NJ,91750,Yes,no,no,Cellular,Selfemployeed,79516.0,1.0
708207783,48,M,1,Graduate,Married,NY,91750,Yes,yes,no,Cellular,Selfemployeed,73959.0,1.0
708208758,42,F,3,Doctorate,Single,FL,91750,Yes,yes,no,Cellular,Selfemployeed,23377.0,2.0
708211383,44,F,3,Uneducated,Single,TX,91750,Yes,yes,no,Cellular,Retirees,44883.0,3.0
708212658,40,F,3,High School,Single,TX,91750,Yes,no,yes,Cellular,Retirees,16041.0,2.0
708216108,58,F,1,Unknown,Single,NY,91750,No,yes,no,Cellular,Businessman,24221.0,3.0
708217758,57,F,1,Graduate,Single,CA,91750,No,yes,no,Cellular,Selfemployeed,14975.0,3.0
708219108,38,M,2,Graduate,Married,CA,91750,Yes,no,no,Cellular,Selfemployeed,102561.0,3.0
708219858,53,F,1,Graduate,Unknown,CA,91750,No,yes,no,Cellular,Selfemployeed,56697.0,2.0
708222558,60,F,1,Uneducated,Single,NJ,91750,No,no,no,Cellular,Retirees,53022.0,3.0
708223383,51,F,3,Uneducated,Married,NY,91750,No,no,yes,Cellular,Businessman,32013.0,1.0
708224133,39,M,4,Graduate,Single,NJ,91750,No,no,no,Cellular,Selfemployeed,62192.0,2.0
708225483,38,F,2,Post-Graduate,Married,CA,91750,No,yes,no,Cellular,Selfemployeed,55061.0,2.0
708226833,50,M,2,Post-Graduate,Married,NY,91750,No,no,no,Cellular,Selfemployeed,127461.0,3.0
708229308,37,M,1,Uneducated,Married,NY,91750,No,no,no,Cellular,Businessman,100839.0,2.0
708231183,39,F,1,Uneducated,Married,CA,91750,No,no,no,Unknown,Retirees,67827.0,3.0
708234558,62,M,0,High School,Single,TX,91750,No,yes,no,Unknown,Selfemployeed,67827.0,3.0
708238833,38,F,2,High School,Single,NY,91750,No,yes,no,Cellular,Selfemployeed,12994.0,1.0
708241233,38,F,1,Graduate,Married,CA,91750,No,yes,no,Unknown,Selfemployeed,5225.0,1.0
708242283,44,F,1,Unknown,Single,TX,91750,No,yes,yes,Unknown,Govt,35755.0,3.0
708243483,60,F,2,Unknown,Single,TX,91750,Yes,no,no,Cellular,Retirees,24156.0,2.0
708244458,26,M,0,Graduate,Single,NY,91750,Yes,yes,no,Cellular,Retirees,37888.0,3.0
708245808,41,M,0,High School,Single,FL,91750,Yes,yes,no,Telephone,Businessman,145701.0,2.0
708248358,61,F,2,Graduate,Single,CA,90094,Yes,no,no,Unknown,Businessman,186885.0,2.0
708249708,39,F,2,Graduate,Single,CA,91750,Yes,no,no,Cellular,Selfemployeed,14975.0,2.0
708252108,50,F,1,Graduate,Single,FL,91750,No,yes,no,Cellular,Selfemployeed,49229.0,2.0
708253458,45,M,2,Unknown,Single,CA,91750,No,yes,no,Cellular,Govt,81622.0,2.0
708254733,56,M,2,Graduate,Single,CA,91750,No,no,no,Unknown,Govt,95152.0,2.0
708255633,47,F,3,Graduate,Single,FL,91750,Yes,yes,no,Unknown,Govt,57686.0,2.0
708260208,48,F,3,Graduate,Married,TX,91750,Yes,yes,no,Unknown,Govt,57686.0,1.0
708266883,37,F,2,Graduate,Married,TX,91750,No,yes,yes,Unknown,Selfemployeed,25423.0,3.0
708267858,33,F,4,High School,Single,NJ,91750,No,no,no,Cellular,Selfemployeed,47653.0,3.0
708269583,41,F,1,High School,Single,NY,91750,No,no,no,Cellular,Selfemployeed,47653.0,3.0
708271833,48,F,3,Graduate,Married,CA,91750,No,yes,yes,Unknown,Govt,37680.0,3.0
708272808,41,F,2,Unknown,Single,FL,91750,Yes,yes,no,Cellular,Govt,41203.0,2.0
